month,frame,family,n_test,brier,brier_base,skill,base
2021-06,4h,bounce,4146,0.08695,0.08709,0.0016,0.0691
2021-06,4h,through,4146,0.17313,0.17473,0.0091,0.852
2021-06,1d,bounce,4146,0.01818,0.01765,-0.03,0.0416
2021-06,1d,through,4146,0.03956,0.03912,-0.0114,0.924
2021-07,5m,bounce,5233,0.21328,0.22309,0.044,0.2836
2021-07,5m,through,5233,0.16933,0.18797,0.0992,0.3359
2021-07,15m,bounce,5233,0.17868,0.19069,0.063,0.2079
2021-07,15m,through,5233,0.23615,0.25242,0.0645,0.5199
2021-07,1h,bounce,5233,0.1108,0.11578,0.043,0.1151
2021-07,1h,through,5233,0.19745,0.2085,0.053,0.7309
2021-07,4h,bounce,5233,0.0935,0.09779,0.0439,0.0695
2021-07,4h,through,5233,0.1574,0.16384,0.0393,0.8508
2021-07,1d,bounce,5233,0.10608,0.10814,0.0191,0.0411
2021-07,1d,through,5233,0.15995,0.16212,0.0134,0.9246
2021-08,5m,bounce,8443,0.18218,0.19835,0.0815,0.2847
2021-08,5m,through,8443,0.18779,0.23526,0.2018,0.3336
2021-08,15m,bounce,8443,0.13397,0.14425,0.0712,0.2089
2021-08,15m,through,8443,0.21422,0.24779,0.1355,0.5184
2021-08,1h,bounce,8443,0.09252,0.09613,0.0375,0.1155
2021-08,1h,through,8443,0.17869,0.18795,0.0493,0.7304
2021-08,4h,bounce,8443,0.07299,0.07253,-0.0064,0.0704
2021-08,4h,through,8443,0.14348,0.14336,-0.0008,0.8496
2021-08,1d,bounce,8443,0.06095,0.06173,0.0126,0.0428
2021-08,1d,through,8443,0.09633,0.09757,0.0127,0.9222
2021-09,5m,bounce,6981,0.19146,0.20337,0.0586,0.2842
2021-09,5m,through,6981,0.18882,0.22076,0.1447,0.3349
2021-09,15m,bounce,6981,0.15918,0.16708,0.0473,0.2077
2021-09,15m,through,6981,0.22611,0.25021,0.0963,0.5201
2021-09,1h,bounce,6981,0.10352,0.10345,-0.0007,0.1152
2021-09,1h,through,6981,0.19366,0.19704,0.0172,0.7311
2021-09,4h,bounce,6981,0.06742,0.06662,-0.012,0.0707
2021-09,4h,through,6981,0.1292,0.12939,0.0014,0.8489
2021-09,1d,bounce,6981,0.03036,0.02962,-0.0249,0.0435
2021-09,1d,through,6981,0.05549,0.05629,0.0142,0.9212
2021-10,5m,bounce,5446,0.21203,0.22223,0.0459,0.2842
2021-10,5m,through,5446,0.17891,0.18998,0.0583,0.3348
2021-10,15m,bounce,5446,0.16665,0.17485,0.0469,0.2078
2021-10,15m,through,5446,0.24242,0.25237,0.0394,0.5197
2021-10,1h,bounce,5446,0.09707,0.09947,0.0241,0.1152
2021-10,1h,through,5446,0.20086,0.20801,0.0344,0.731
2021-10,4h,bounce,5446,0.06876,0.07027,0.0215,0.0707
2021-10,4h,through,5446,0.14417,0.14968,0.0368,0.8488
2021-10,1d,bounce,5446,0.0084,0.0022,-2.8176,0.0432
2021-10,1d,through,5446,0.01857,0.00721,-1.5754,0.9217
2021-11,5m,bounce,6083,0.20624,0.2204,0.0643,0.2851
2021-11,5m,through,6083,0.17184,0.1883,0.0874,0.3327
2021-11,15m,bounce,6083,0.17748,0.18726,0.0523,0.2081
2021-11,15m,through,6083,0.24026,0.25336,0.0517,0.5182
2021-11,1h,bounce,6083,0.09392,0.09437,0.0048,0.1152
2021-11,1h,through,6083,0.19588,0.18957,-0.0333,0.7305
2021-11,4h,bounce,6083,0.05472,0.05045,-0.0846,0.0708
2021-11,4h,through,6083,0.11749,0.1049,-0.12,0.8482
2021-11,1d,bounce,6083,0.05912,0.05642,-0.0479,0.0423
2021-11,1d,through,6083,0.10642,0.10247,-0.0385,0.9233
2021-12,5m,bounce,4996,0.21442,0.22203,0.0343,0.286
2021-12,5m,through,4996,0.14007,0.16565,0.1544,0.3304
2021-12,15m,bounce,4996,0.19368,0.20491,0.0548,0.209
2021-12,15m,through,4996,0.22932,0.25414,0.0977,0.5159
2021-12,1h,bounce,4996,0.12878,0.1336,0.036,0.115
2021-12,1h,through,4996,0.23245,0.24646,0.0569,0.7309
2021-12,4h,bounce,4996,0.09612,0.09765,0.0157,0.0704
2021-12,4h,through,4996,0.17617,0.18235,0.0339,0.849
2021-12,1d,bounce,4996,0.08614,0.08823,0.0237,0.0427
2021-12,1d,through,4996,0.1362,0.14131,0.0362,0.9225
2022-01,5m,bounce,5701,0.20719,0.22025,0.0593,0.2868
2022-01,5m,through,5701,0.20206,0.21049,0.0401,0.3274
2022-01,15m,bounce,5701,0.17787,0.18936,0.0607,0.2103
2022-01,15m,through,5701,0.24544,0.25082,0.0214,0.5134
2022-01,1h,bounce,5701,0.12701,0.13391,0.0515,0.1157
2022-01,1h,through,5701,0.20721,0.21764,0.0479,0.7289
2022-01,4h,bounce,5701,0.07869,0.08194,0.0397,0.0711
