depth,combo,cells,extinct
5,coin|etype|virgin|yd_arch|dtype,1534,False
5,coin|etype|virgin|yd_arch|lean,2019,False
5,coin|etype|virgin|yd_arch|scen_state,2108,False
5,coin|etype|virgin|yd_arch|scen_failed,1919,False
5,coin|etype|virgin|ob55|dtype,1670,False
5,coin|etype|virgin|ob55|lean,1926,False
5,coin|etype|virgin|ob55|scen_state,2071,False
5,coin|etype|virgin|ob55|scen_failed,1894,False
5,coin|etype|virgin|dtype|lean,950,False
5,coin|etype|virgin|dtype|scen_state,1300,False
5,coin|etype|virgin|dtype|scen_failed,903,False
5,coin|etype|virgin|lean|scen_state,1652,False
5,coin|etype|virgin|lean|scen_failed,1303,False
5,coin|etype|virgin|scen_state|scen_failed,1549,False
5,coin|etype|cb|wq|session,3511,False
5,coin|etype|cb|wq|wknd,1805,False
5,coin|etype|cb|wq|hayden,2319,False
5,coin|etype|cb|wq|hayden_btc,2360,False
5,coin|etype|cb|wq|btc_pi,1407,False
5,coin|etype|cb|wq|origin,2959,False
5,coin|etype|cb|wq|tn,2305,False
5,coin|etype|cb|wq|dq,2369,False
5,coin|etype|cb|wq|sq,2687,False
5,coin|etype|cb|wq|vq,2673,False
5,coin|etype|cb|wq|rq,2747,False
5,coin|etype|cb|wq|kq,2963,False
5,coin|etype|cb|wq|uq,3033,False
5,coin|etype|cb|wq|yd_arch,2407,False
5,coin|etype|cb|wq|ob55,2597,False
5,coin|etype|cb|wq|dtype,1874,False
5,coin|etype|cb|wq|lean,2331,False
5,coin|etype|cb|wq|scen_state,2357,False
5,coin|etype|cb|wq|scen_failed,2235,False
5,coin|etype|cb|session|wknd,3029,False
5,coin|etype|cb|session|hayden,3604,False
5,coin|etype|cb|session|hayden_btc,3671,False
5,coin|etype|cb|session|btc_pi,2384,False
5,coin|etype|cb|session|origin,2963,False
5,coin|etype|cb|session|tn,3436,False
5,coin|etype|cb|session|dq,3538,False
5,coin|etype|cb|session|sq,3803,False
5,coin|etype|cb|session|vq,3981,False
5,coin|etype|cb|session|rq,3923,False
5,coin|etype|cb|session|kq,4397,False
5,coin|etype|cb|session|uq,4459,False
5,coin|etype|cb|session|yd_arch,3739,False
5,coin|etype|cb|session|ob55,3866,False
5,coin|etype|cb|session|dtype,2982,False
5,coin|etype|cb|session|lean,3216,False
5,coin|etype|cb|session|scen_state,3070,False
5,coin|etype|cb|session|scen_failed,3212,False
5,coin|etype|cb|wknd|hayden,2025,False
5,coin|etype|cb|wknd|hayden_btc,2048,False
5,coin|etype|cb|wknd|btc_pi,1212,False
5,coin|etype|cb|wknd|origin,2742,False
5,coin|etype|cb|wknd|tn,2003,False
5,coin|etype|cb|wknd|dq,2102,False
5,coin|etype|cb|wknd|sq,2302,False
5,coin|etype|cb|wknd|vq,2297,False
5,coin|etype|cb|wknd|rq,2403,False
5,coin|etype|cb|wknd|kq,2518,False
5,coin|etype|cb|wknd|uq,2616,False
5,coin|etype|cb|wknd|yd_arch,2114,False
5,coin|etype|cb|wknd|ob55,2295,False
5,coin|etype|cb|wknd|dtype,1460,False
5,coin|etype|cb|wknd|lean,1711,False
5,coin|etype|cb|wknd|scen_state,1972,False
5,coin|etype|cb|wknd|scen_failed,1644,False
5,coin|etype|cb|hayden|hayden_btc,2133,False
5,coin|etype|cb|hayden|btc_pi,1580,False
5,coin|etype|cb|hayden|origin,3150,False
5,coin|etype|cb|hayden|tn,2536,False
5,coin|etype|cb|hayden|dq,2547,False
5,coin|etype|cb|hayden|sq,2809,False
5,coin|etype|cb|hayden|vq,2875,False
5,coin|etype|cb|hayden|rq,2993,False
5,coin|etype|cb|hayden|kq,3173,False
5,coin|etype|cb|hayden|uq,3248,False
5,coin|etype|cb|hayden|yd_arch,2663,False
5,coin|etype|cb|hayden|ob55,2528,False
5,coin|etype|cb|hayden|dtype,2111,False
5,coin|etype|cb|hayden|lean,2463,False
5,coin|etype|cb|hayden|scen_state,2505,False
5,coin|etype|cb|hayden|scen_failed,2404,False
5,coin|etype|cb|hayden_btc|btc_pi,1599,False
5,coin|etype|cb|hayden_btc|origin,3114,False
5,coin|etype|cb|hayden_btc|tn,2568,False
5,coin|etype|cb|hayden_btc|dq,2596,False
5,coin|etype|cb|hayden_btc|sq,2853,False
